Symbol
SPY
QQQ
IWM
DIA
RSP
XLK
XLE
XLF
XLV
XLI
XLY
XLP
XLU
XLB
XLRE
XLC
SMH
SOXX
DRAM
ARKK
XOP
KRE
ITB
JETS
XRT
IBB
GLD
SLV
USO
TLT
IEF
HYG
EFA
EEM
